run_id,	timestamp,random_state,n_splits,groups_key,prevalence_positive,idf_ngram_range,tfidf_max_features,tfidf_min_df,tfidf_max_df,vocab_strategy,top_k,coverage,numeric_scaler,class_weight,model,params_json,cv_mean_pr_auc,cv_std_pr_auc,cv_mean_f1,cv_std_f1,cv_mean_recall,cv_std_recall,cv_mean_precision,cv_std_precision,cv_mean_roc_auc,cv_std_roc_auc,train_time_sec,inference_time_ms_per_1k,notes,wall_clock_sec,cv_mean_accuracy,cv_std_accuracy,cv_mean_bal_accuracy,cv_std_bal_accuracy,cv_mean_mcc,cv_std_mcc
1759853742_0_LR_21,2025-10-07 23:15:45,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l1"", ""C"": 0.5, ""max_iter"": 1000, ""solver"": ""saga""}",0.5861476937763281,0.028481616963001808,0.5294042187751201,0.015479201614684924,0.6850350978589941,0.03281092610479015,0.4318221053423613,0.012773503712599712,0.7783139194644562,0.01113383710427243,3.086273193359375,35.907602310180664,,3.4532949924468994,0.716928593985289,0.009924741428408207,0.7056581141353702,0.00992609802412761,0.36038202458534957,0.015507036988265993
1759853745_0_LR_22,2025-10-07 23:15:47,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l1"", ""C"": 1.0, ""max_iter"": 500, ""solver"": ""saga""}",0.592104341260165,0.027927574203326495,0.527055575806895,0.015999951647040864,0.6816637840896649,0.03390146453259272,0.430091094708818,0.013455936060579021,0.7790490670534221,0.011380923559259458,1.8546364307403564,37.93759346008301,,2.0024890899658203,0.7156626765277154,0.010493706984268898,0.7036563786160985,0.01019937493235037,0.3569728083450984,0.016120551908920297
1759853747_0_LR_23,2025-10-07 23:15:51,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l1"", ""C"": 1.0, ""max_iter"": 1000, ""solver"": ""saga""}",0.5921299778345404,0.02789721459787629,0.5269570517282849,0.016449177105846684,0.681222282985912,0.03473060016122825,0.43013614575556447,0.01348927837228914,0.779001012117245,0.01145278287394533,3.4274991512298585,38.646745681762695,,3.7039120197296143,0.7157600475111623,0.010340936626825458,0.703561771249268,0.01058583478990319,0.35686349368303216,0.016715988999687716
1759853751_0_LR_24,2025-10-07 23:15:53,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l1"", ""C"": 2.0, ""max_iter"": 500, ""solver"": ""saga""}",0.594025507290314,0.027387663115355846,0.5269209451250872,0.01659353292091438,0.6819817502904575,0.034160945008862464,0.4297467352622366,0.013380547442179756,0.7791196062754218,0.01157461033123244,2.205459451675415,40.69972038269043,,2.3658969402313232,0.7153701847941363,0.010912586029421151,0.7035510882764572,0.010685301062769433,0.35671424770479987,0.01717882865370338
1759853753_0_LR_25,2025-10-07 23:15:58,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l1"", ""C"": 2.0, ""max_iter"": 1000, ""solver"": ""saga""}",0.5941500799073686,0.02731912722563924,0.5258261025795714,0.01724902080630598,0.6807141326983366,0.035767429046960515,0.42880607247595826,0.013331178600401228,0.7791572877175792,0.01156877439878924,4.143240356445313,37.89324760437012,,4.401209831237793,0.7146886353385734,0.010920425651672392,0.7026612442743628,0.011489224612837618,0.35513052066810585,0.018342524395480467
1759853758_0_LR_26,2025-10-07 23:16:00,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l1"", ""C"": 5.0, ""max_iter"": 500, ""solver"": ""saga""}",0.594662855279797,0.0273567751649908,0.525622458434022,0.017271913082203615,0.6807427170646694,0.03713408725433018,0.42855282733877564,0.012887886179615844,0.7792025912440624,0.011748723695956103,2.302660417556763,40.50898551940918,,2.406270980834961,0.7144939880905351,0.01040470082040071,0.7025509676705093,0.011733296417029724,0.3548819019772121,0.01834234452688158
1759853760_0_LR_27,2025-10-07 23:16:04,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,LR,"{""penalty"": ""l1"", ""C"": 5.0, ""max_iter"": 1000, ""solver"": ""saga""}",0.5946443631545386,0.027346213249728645,0.526022373786948,0.016832672381792646,0.6811273324492848,0.03716223670995493,0.4289395429254297,0.012331334185127949,0.7791628301959667,0.01178093959589758,4.3008769989013675,40.302181243896484,,4.421302080154419,0.7147862904785869,0.010485501377469536,0.7028652205714561,0.011338435480359382,0.3554766967661034,0.01752283242892842
1759853764_0_RF_0,2025-10-07 23:16:07,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,RF,"{""n_estimators"": 200, ""max_depth"": NaN, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""class_weight"": ""balanced""}",0.6112958951285347,0.03665436012723168,0.45009820658506683,0.0480435691279762,0.3337984646857761,0.04099950988014923,0.6926055702680664,0.0520984757019253,0.8066885780540615,0.013129645317593207,2.463178586959839,139.48535919189453,,2.7149710655212402,0.810377597846675,0.020021426008785936,0.6446078755153152,0.02373606244608773,0.3868363823797769,0.05645457559046911
1759853767_0_RF_1,2025-10-07 23:16:17,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,RF,"{""n_estimators"": 200, ""max_depth"": NaN, ""min_samples_leaf"": 1, ""max_features"": ""0.7"", ""class_weight"": ""balanced""}",0.6045104799234122,0.034350094486854645,0.44615304967195624,0.04272774809885442,0.32951681064726074,0.03631146422533898,0.691969849185039,0.048613736076015504,0.8033557658619734,0.016324222422091302,9.726572608947754,122.64761924743652,,9.944856643676758,0.8097925665822162,0.017437840074262016,0.6425824138431124,0.020855557190878067,0.3836027990393586,0.050043516837371974
1759853777_0_RF_2,2025-10-07 23:16:19,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,RF,"{""n_estimators"": 200, ""max_depth"": NaN, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""class_weight"": ""balanced""}",0.614262603800643,0.03378890898135643,0.548349853117374,0.019771828341452902,0.5731637796479931,0.027368775797174415,0.5260477350367905,0.018303224797949505,0.8061974636143369,0.011783749236816894,1.5121760845184327,126.25694274902344,,1.7702250480651855,0.7804921417504038,0.009950034181646299,0.7081845253401492,0.012658174497258312,0.4044536578969974,0.022410709691512265
1759853779_0_RF_3,2025-10-07 23:16:27,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,RF,"{""n_estimators"": 200, ""max_depth"": NaN, ""min_samples_leaf"": 5, ""max_features"": ""0.7"", ""class_weight"": ""balanced""}",0.6036502636649156,0.03120057157834196,0.5305072846939978,0.021659570259957787,0.5022470974334728,0.024012580172805748,0.5627511589155565,0.02499428741274319,0.7997370339421783,0.015245281443572753,7.8804138660430905,161.4978790283203,,8.092725992202759,0.7931467698671694,0.0125580247016613,0.6917617127825784,0.013162307290904455,0.3995746033273974,0.026976128188684553
1759853787_0_RF_4,2025-10-07 23:16:29,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,RF,"{""n_estimators"": 200, ""max_depth"": 20.0, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""class_weight"": ""balanced""}",0.6095803658661685,0.035858169546071086,0.4739892599660435,0.03904698548091639,0.3710213567192843,0.03420418535150462,0.6571940981408186,0.04674062536537194,0.8010112361624279,0.011202019746308118,2.3676318168640136,128.72562408447266,,2.55965518951416,0.8083328070099217,0.018140529094998414,0.656182057555292,0.020782239864939933,0.3905082682755164,0.04872946486414091
1759853789_0_RF_5,2025-10-07 23:16:41,42,5,file_id,0.23284337583957948,1-2,2000,3,0.95,none,nan,nan,standard,balanced,RF,"{""n_estimators"": 200, ""max_depth"": 20.0, ""min_samples_leaf"": 1, ""max_features"": ""0.7"", ""class_weight"": ""balanced""}",0.6064240747329661,0.03404399475047739,0.45239834776165583,0.045748188539819955,0.3403919315180546,0.04158084092376693,0.6766973912707275,0.04547777916063813,0.8030103074084316,0.016607564268853403,11.08371434211731,151.65152549743652,,11.284169912338257,0.8087213436629707,0.017009623776371358,0.6456816205444081,0.022646898003269154,0.3825355912306375,0.050664925137524894
